date,open,high,low,close,volume,MACD,RSI
2018-08-13,283.470,284.160,281.770,282.080,65970064,1.822,0.000
2018-08-14,282.920,284.170,282.050,283.820,43929923,1.750,0.000
2018-08-15,282.380,282.540,280.160,281.750,102949355,1.508,0.000
2018-08-16,283.400,285.040,283.360,284.080,69968919,1.487,0.000
2018-08-17,283.830,285.560,283.370,285.020,66354435,1.529,0.000
2018-08-20,285.570,285.970,285.060,285.680,39817739,1.597,0.000
2018-08-21,286.250,287.310,285.714,286.270,67271983,1.679,0.000
2018-08-22,285.880,286.760,285.575,286.210,44993333,1.720,0.000
2018-08-23,285.970,286.940,285.430,285.790,49218851,1.698,0.000
2018-08-24,286.440,287.670,286.380,287.520,57487399,1.800,0.000
2018-08-27,288.860,289.900,288.680,289.730,57714809,2.036,0.000
2018-08-28,290.300,290.418,289.400,289.839,47215226,2.206,0.000
2018-08-29,290.160,291.740,289.885,291.450,62288529,2.442,0.000
2018-08-30,290.940,291.360,289.630,290.320,61744506,2.510,0.000
2018-08-31,289.840,290.810,289.290,290.270,66796394,2.530,0.000
2018-09-04,289.840,290.210,288.680,289.840,57816442,2.483,0.000
2018-09-05,289.410,289.640,287.890,289.070,72545437,2.356,0.000
2018-09-06,289.150,289.490,287.000,288.160,65984976,2.157,0.000
2018-09-07,286.980,288.700,286.710,287.530,73632624,1.927,0.000
2018-09-10,288.740,289.040,287.880,288.090,50712904,1.769,0.000
2018-09-11,287.370,289.550,286.975,289.130,50552311,1.708,0.000
2018-09-12,289.060,289.800,288.230,289.180,60051008,1.645,0.000
2018-09-13,290.320,291.038,289.995,290.800,51582525,1.706,0.000
2018-09-14,291.060,291.270,290.000,290.920,55532434,1.743,0.000
2018-09-17,290.820,290.860,289.030,289.400,69902080,1.632,0.000
2018-09-18,289.580,291.580,289.550,290.920,62033460,1.647,0.000
2018-09-19,290.980,291.690,290.825,291.250,49100576,1.667,0.000
2018-09-20,292.640,293.940,291.236,293.530,101956446,1.845,0.000
2018-09-21,293.090,293.220,291.810,292.040,107509570,1.845,0.000
2018-09-24,291.410,291.500,290.370,291.080,54024894,1.747,0.000
2018-09-25,291.530,291.650,290.483,290.700,44471638,1.620,0.000
2018-09-26,290.910,292.240,289.410,289.805,79789674,1.431,0.000
2018-09-27,290.410,291.910,290.100,290.680,59472319,1.336,0.000
2018-09-28,289.990,291.280,289.950,290.570,70091460,1.238,0.000
2018-10-01,292.110,292.930,290.980,291.700,62578937,1.237,0.000
2018-10-02,291.560,292.355,291.140,291.610,47288227,1.215,0.000
2018-10-03,292.740,293.210,291.320,291.760,64695630,1.196,0.000
2018-10-04,291.180,291.240,287.660,289.530,112856465,0.989,0.000
2018-10-05,289.690,290.270,286.220,287.810,106032068,0.679,0.000
2018-10-08,287.050,288.220,285.500,287.800,87853812,0.427,0.000
2018-10-09,287.390,288.860,286.770,287.480,74389172,0.200,0.000
2018-10-10,286.830,286.910,277.880,278.270,215567771,-0.715,0.000
2018-10-11,277.080,278.900,270.360,272.540,275225580,-1.881,0.000
2018-10-12,276.770,277.090,272.370,276.010,186452035,-2.497,0.000
2018-10-15,275.550,277.040,274.300,274.490,104132367,-3.072,0.000
2018-10-16,276.600,280.820,276.070,280.240,119803983,-3.028,0.000
2018-10-17,280.440,281.150,277.560,280.420,110755987,-2.945,0.000
2018-10-18,279.400,280.070,274.970,276.390,135603525,-3.169,0.000
2018-10-19,277.130,279.300,275.470,276.180,139970953,-3.324,0.000
2018-10-22,277.000,277.360,274.410,275.030,82625903,-3.500,0.000
2018-10-23,270.950,274.870,268.610,273.520,146954204,-3.718,0.000
2018-10-24,273.330,273.760,264.700,265.210,178147537,-4.509,0.000
2018-10-25,267.380,271.810,266.230,270.010,138601053,-4.695,0.000
2018-10-26,265.890,271.000,262.290,265.220,202113826,-5.169,0.000
2018-10-29,268.800,270.250,259.850,263.690,162601353,-5.604,0.000
2018-10-30,263.670,268.120,263.120,267.880,157308558,-5.546,0.000
2018-10-31,270.650,273.230,270.120,270.690,128348386,-5.214,0.000
2018-11-01,271.600,273.730,270.380,273.370,100335042,-4.680,0.000
2018-11-02,274.750,275.230,269.590,271.800,122920549,-4.334,0.000
2018-11-05,272.450,274.010,271.350,273.470,66034982,-3.880,0.000
2018-11-06,273.320,275.300,273.250,275.110,60140604,-3.349,0.000
2018-11-07,277.560,281.100,277.080,281.000,103084708,-2.426,0.000
2018-11-08,280.110,281.220,279.220,280.480,66734990,-1.716,0.000
2018-11-09,279.030,279.240,276.180,277.820,100098611,-1.352,0.000
2018-11-12,277.190,277.460,271.990,272.479,99833427,-1.478,0.000
2018-11-13,273.070,275.325,271.250,272.040,98239663,-1.595,0.000
2018-11-14,274.160,274.610,268.450,270.150,128450670,-1.819,0.000
2018-11-15,268.780,273.540,267.010,273.010,135133581,-1.745,0.000
2018-11-16,271.790,274.750,271.210,273.730,127441298,-1.611,0.000
2018-11-19,273.050,273.380,266.748,269.120,103083870,-1.854,0.000
2018-11-20,265.360,267.000,263.150,264.150,136914701,-2.421,0.000
2018-11-21,265.860,267.150,265.010,265.030,76677771,-2.767,0.000
2018-11-23,263.180,264.823,263.070,263.320,42908328,-3.143,0.000
2018-11-26,265.800,267.750,265.340,267.430,80742820,-3.073,0.000
