date,open,high,low,close,volume,MACD,RSI
2018-08-16,211.750,213.812,211.470,213.320,28500896,5.563,76.445
2018-08-17,213.440,217.950,213.160,217.580,35427052,6.001,80.102
2018-08-20,218.100,219.180,215.110,215.460,30398241,6.106,73.949
2018-08-21,216.800,217.190,214.025,215.040,26160673,6.086,72.757
2018-08-22,214.100,216.360,213.840,215.050,19019291,6.001,72.768
2018-08-23,214.650,217.050,214.600,215.490,18889335,5.901,73.291
2018-08-24,216.600,216.900,215.110,216.160,18476361,5.810,74.107
2018-08-27,217.150,218.740,216.330,217.940,20525692,5.813,76.187
2018-08-28,219.010,220.540,218.920,219.700,22777008,5.891,78.064
2018-08-29,220.150,223.490,219.410,222.980,27256552,6.146,81.059
2018-08-30,223.250,228.260,222.400,225.030,49000151,6.439,82.654
2018-08-31,226.510,228.870,226.000,227.630,43585535,6.803,84.443
2018-09-04,228.410,229.180,226.630,228.360,27423279,7.068,84.913
2018-09-05,228.990,229.670,225.100,226.870,33395928,7.077,79.621
2018-09-06,226.230,227.350,221.300,223.100,34291286,6.703,68.062
2018-09-07,221.750,225.370,220.710,221.300,37678646,6.189,63.335
2018-09-10,220.950,221.850,216.470,218.330,39516998,5.480,56.377
2018-09-11,218.010,224.299,216.560,223.850,35748795,5.302,64.240
2018-09-12,224.940,225.000,219.840,221.070,49389255,4.880,58.519
2018-09-13,223.520,228.350,222.570,226.410,41706995,4.920,64.972
2018-09-14,225.750,226.840,222.522,223.840,32281929,4.690,60.124
2018-09-17,222.150,222.950,217.270,217.880,37195500,3.981,50.680
2018-09-18,217.790,221.850,217.120,218.240,31571812,3.409,51.179
2018-09-19,218.500,219.620,215.300,218.370,27124356,2.932,51.370
2018-09-20,220.240,222.280,219.150,220.030,26612894,2.658,53.856
2018-09-21,220.780,221.360,217.290,217.660,96300687,2.223,49.932
2018-09-24,216.800,221.260,216.630,220.790,27694723,2.107,54.634
2018-09-25,219.750,222.820,219.700,222.190,24556489,2.104,56.597
2018-09-26,221.000,223.750,219.760,220.420,23984706,1.937,53.448
2018-09-27,223.850,226.440,223.540,224.950,30193028,2.144,59.638
2018-09-28,224.790,225.840,224.020,225.740,23035933,2.346,60.622
2018-10-01,227.950,229.420,226.350,227.260,23600802,2.598,62.514
2018-10-02,227.250,230.000,226.630,229.280,25069170,2.928,64.927
2018-10-03,230.050,233.470,229.780,232.070,28656589,3.375,67.991
2018-10-04,230.780,232.350,226.730,227.990,32042452,3.361,59.768
2018-10-05,227.960,228.410,220.580,224.290,33580603,3.017,53.454
2018-10-08,222.210,224.800,220.200,223.770,29660644,2.672,52.613
2018-10-09,223.640,227.270,222.246,226.870,27079427,2.618,56.961
2018-10-10,225.460,226.350,216.050,216.360,41990601,1.707,42.666
2018-10-11,214.520,219.500,212.320,214.450,53126098,0.822,40.669
2018-10-12,220.420,222.880,216.840,222.110,40339360,0.731,50.648
2018-10-15,221.160,221.830,217.270,217.360,30791206,0.271,45.533
2018-10-16,218.930,222.990,216.763,222.150,29183973,0.291,50.916
2018-10-17,222.300,222.640,219.340,221.190,22885702,0.226,49.853
2018-10-18,217.860,219.740,213.000,216.020,32583245,-0.240,44.467
2018-10-19,218.060,221.260,217.430,219.310,33105905,-0.340,48.295
2018-10-22,219.790,223.360,218.940,220.650,28794461,-0.307,49.812
2018-10-23,215.740,223.250,214.700,222.730,38952909,-0.112,52.159
2018-10-24,222.600,224.230,214.540,215.090,40929068,-0.567,44.017
2018-10-25,217.710,221.380,216.750,219.800,29855949,-0.542,49.274
2018-10-26,215.900,220.190,212.670,216.300,47259535,-0.795,45.830
2018-10-29,219.190,219.690,206.090,212.240,45937841,-1.308,42.149
2018-10-30,211.150,215.180,209.270,213.300,36660137,-1.611,43.427
2018-10-31,217.260,220.450,216.620,218.860,38361274,-1.386,49.701
2018-11-01,219.050,222.360,216.810,222.220,58334647,-0.926,53.087
2018-11-02,209.550,213.650,205.430,207.480,91352923,-1.731,40.278
2018-11-05,204.262,204.390,198.170,201.590,66356867,-2.812,36.489
2018-11-06,201.920,204.720,201.690,203.770,31882918,-3.452,38.784
2018-11-07,205.970,210.060,204.130,209.950,33450089,-3.422,44.867
2018-11-08,210.000,210.120,206.750,208.490,25380829,-3.476,43.761
2018-11-09,205.550,206.010,202.250,204.470,34365857,-3.799,40.779
2018-11-12,199.000,199.850,193.790,194.170,51158989,-4.831,34.326
2018-11-13,191.630,197.180,191.450,192.230,46883036,-5.739,33.258
2018-11-14,193.900,194.480,185.930,186.800,60809799,-6.818,30.408
2018-11-15,188.390,191.970,186.900,191.410,46479039,-7.218,35.465
2018-11-16,190.500,194.970,189.460,193.530,36978428,-7.280,37.707
2018-11-19,190.000,190.700,184.990,185.860,41922469,-7.857,33.212
2018-11-20,178.370,181.470,175.510,176.980,67835251,-8.928,28.914
2018-11-21,179.730,180.270,176.550,176.890,31124494,-9.673,28.873
2018-11-23,174.940,176.595,172.100,172.290,23625136,-10.513,26.793
2018-11-26,174.240,174.950,170.260,174.620,45000606,-10.866,29.561
2018-11-27,171.510,174.770,170.880,174.240,41387983,-11.049,29.366
2018-11-28,176.730,181.290,174.930,180.940,46084519,-10.532,37.229
2018-11-29,182.660,182.800,177.700,179.550,41829492,-10.117,36.326
