date,open,high,low,close,volume,MACD,RSI
2015-12-01,134.860,136.570,134.360,136.430,3797898,0.000,0.000
2015-12-02,136.500,136.740,135.100,135.270,3710783,0.000,0.000
2015-12-03,135.330,135.540,132.290,132.660,4378515,0.000,0.000
2015-12-04,133.090,136.520,133.000,136.480,5520158,0.000,0.000
2015-12-07,136.200,136.450,134.680,135.600,2802824,0.000,0.000
2015-12-08,134.900,134.990,133.170,133.360,4055632,0.000,0.000
2015-12-09,133.180,134.150,131.200,131.710,4067352,0.000,0.000
2015-12-10,131.720,132.620,131.190,131.710,3463760,0.000,0.000
2015-12-11,130.310,130.910,129.560,130.310,5483184,0.000,0.000
2015-12-14,130.500,132.230,130.110,132.020,4418838,0.000,0.000
2015-12-15,133.250,135.640,132.760,134.880,4703626,0.000,0.000
2015-12-16,135.490,136.123,133.100,135.880,4930312,0.000,0.000
2015-12-17,135.710,136.160,133.900,133.970,3596118,0.000,0.000
2015-12-18,133.040,133.170,129.530,129.530,8791780,0.000,0.000
2015-12-21,131.160,131.690,129.650,131.190,4308430,0.000,0.000
2015-12-22,131.550,133.330,131.040,133.140,3714766,0.000,0.000
2015-12-23,133.350,134.430,133.200,134.150,3483223,0.000,0.000
2015-12-24,134.120,134.550,133.480,133.890,1367520,0.000,0.000
2015-12-28,133.480,133.540,132.520,133.120,2382886,0.000,0.000
2015-12-29,134.000,134.550,133.000,134.140,3135419,0.000,0.000
2015-12-30,133.920,134.120,133.060,133.260,2684632,0.000,0.000
2015-12-31,133.000,133.370,131.950,132.040,3405644,0.000,0.000
2016-01-04,130.160,131.030,128.760,130.750,6869128,0.000,0.000
2016-01-05,130.750,131.530,129.810,131.250,4084802,0.000,0.000
2016-01-06,129.990,131.760,129.725,131.330,5232860,0.000,0.000
2016-01-07,129.250,130.540,129.000,129.480,7382019,0.000,0.000
2016-01-08,130.110,130.400,128.205,128.330,6101598,-0.939,30.978
2016-01-11,128.920,129.230,127.040,128.360,4353543,-1.136,31.098
2016-01-12,129.110,129.430,127.520,128.800,4724161,-1.242,32.930
2016-01-13,128.970,129.380,125.710,126.250,6042403,-1.514,28.242
2016-01-14,126.410,128.990,126.010,128.070,6125261,-1.565,35.320
2016-01-15,125.340,126.810,124.510,126.140,8145060,-1.741,31.744
2016-01-19,126.920,128.270,126.770,127.760,5831751,-1.730,37.467
2016-01-20,125.680,126.120,124.040,124.830,8024290,-1.936,32.207
2016-01-21,125.520,126.750,124.370,125.620,3806111,-2.011,34.862
2016-01-22,127.500,127.930,125.920,127.040,3765854,-1.935,39.452
2016-01-25,126.550,126.900,123.900,124.130,5258073,-2.084,34.143
2016-01-26,124.570,126.520,124.570,125.890,3694925,-2.038,39.451
2016-01-27,125.260,127.220,124.610,125.190,3942599,-2.034,38.134
2016-01-28,126.000,126.720,124.370,126.010,3513266,-1.942,40.633
2016-01-29,126.660,129.770,126.110,129.770,6523965,-1.548,50.506
2016-02-01,128.940,129.640,127.540,128.660,4516472,-1.310,47.970
2016-02-02,127.520,127.830,125.510,125.700,4271717,-1.345,41.924
2016-02-03,126.340,126.629,123.550,126.240,6607586,-1.314,43.327
2016-02-04,126.090,127.700,125.750,127.440,4596293,-1.179,46.425
2016-02-05,127.280,127.390,125.750,126.560,4737518,-1.130,44.504
2016-02-08,125.700,127.840,124.930,126.780,6197716,-1.061,45.116
2016-02-09,125.150,128.080,125.150,127.720,5246910,-0.920,47.764
2016-02-10,128.440,129.180,126.290,126.580,4733096,-0.890,44.932
2016-02-11,124.110,125.840,124.040,125.090,6061326,-0.976,41.471
2016-02-12,126.760,128.210,126.050,128.070,5167586,-0.793,49.800
2016-02-16,129.440,129.600,128.070,128.560,5912540,-0.603,51.034
2016-02-17,129.170,130.440,128.910,130.260,4512056,-0.311,55.152
2016-02-18,130.600,132.350,130.590,130.860,3866424,-0.031,56.541
2016-02-19,130.350,131.600,130.010,131.050,4094159,0.204,56.996
2016-02-22,132.190,132.870,131.330,131.990,3720362,0.461,59.264
2016-02-23,131.120,131.910,130.650,130.740,3091452,0.557,55.101
2016-02-24,129.900,131.500,128.880,131.030,3635832,0.650,55.876
2016-02-25,131.620,132.370,130.420,132.310,3504735,0.816,59.219
2016-02-26,132.820,133.290,131.770,131.920,3859748,0.907,57.782
2016-02-29,133.360,135.110,132.940,134.170,7730109,1.147,63.312
2016-03-01,135.110,136.940,134.320,136.940,6068595,1.543,68.741
2016-03-02,136.950,137.150,135.810,136.730,3778052,1.819,67.920
2016-03-03,136.800,137.240,136.130,136.840,3936542,2.023,68.135
2016-03-04,136.990,138.060,136.520,137.970,4228810,2.250,70.330
2016-03-07,137.700,138.790,137.430,138.720,4578765,2.462,71.723
2016-03-08,138.250,138.695,137.490,137.800,4124539,2.527,67.536
2016-03-09,138.550,139.150,138.070,139.130,3165588,2.655,70.240
2016-03-10,139.750,139.750,137.810,138.620,4525433,2.684,67.904
2016-03-11,139.340,140.760,139.110,140.650,4307244,2.838,71.909
2016-03-14,140.800,141.220,139.480,139.720,4244239,2.853,67.739
2016-03-15,139.120,140.410,139.010,140.400,2838197,2.886,69.148
2016-03-16,139.840,140.440,139.510,139.830,3124245,2.833,66.525
2016-03-17,140.000,142.580,139.680,142.400,4461016,2.965,71.731
2016-03-18,142.830,142.960,141.440,142.160,7625105,3.015,70.627
2016-03-21,142.170,142.610,141.710,142.130,2441056,3.017,70.480
2016-03-22,141.980,142.990,141.660,142.180,3338132,2.989,70.590
2016-03-23,142.170,142.170,140.900,140.960,2647173,2.835,64.336
2016-03-24,140.220,140.600,139.560,140.110,3777927,2.615,60.325
2016-03-28,140.950,141.620,140.330,141.290,2668119,2.507,63.707
