date,open,high,low,close,volume,MACD,RSI
2018-08-16,114.350,115.310,114.300,114.770,10118820,1.282,54.267
2018-08-17,114.640,115.070,114.300,114.770,8505111,1.162,54.267
2018-08-20,114.590,115.050,114.110,114.620,8618739,1.043,53.573
2018-08-21,115.370,116.385,114.880,115.320,10976680,0.994,56.379
2018-08-22,115.310,115.410,114.780,114.970,8325441,0.916,54.602
2018-08-23,114.960,115.150,114.430,114.730,9265698,0.825,53.360
2018-08-24,114.980,115.220,114.451,114.680,8845718,0.740,53.089
2018-08-27,115.220,117.280,115.170,116.710,13768171,0.828,61.610
2018-08-28,117.000,117.030,115.970,116.140,8302655,0.841,58.402
2018-08-29,116.350,116.370,115.360,115.760,7221744,0.812,56.298
2018-08-30,115.630,116.040,114.980,115.190,8991802,0.734,53.201
2018-08-31,114.840,114.840,113.819,114.580,13067359,0.617,50.029
2018-09-04,114.340,115.240,113.630,115.150,10174177,0.563,52.858
2018-09-05,115.000,115.700,114.250,114.590,11462621,0.469,49.871
2018-09-06,114.500,114.700,113.500,114.100,9877635,0.352,47.350
2018-09-07,114.500,114.770,113.630,114.320,10955590,0.273,48.607
2018-09-10,114.850,114.970,113.660,113.710,8276936,0.160,45.374
2018-09-11,113.540,114.575,113.180,114.430,9333781,0.127,49.632
2018-09-12,114.250,114.880,112.850,113.080,10800758,-0.008,42.883
2018-09-13,113.370,114.130,112.670,113.520,12471369,-0.079,45.485
2018-09-14,113.810,114.490,113.230,113.500,10443294,-0.135,45.384
2018-09-17,113.790,114.430,113.300,113.840,9561297,-0.150,47.521
2018-09-18,114.330,114.655,113.560,114.300,7944210,-0.124,50.353
2018-09-19,114.440,118.060,114.440,117.620,16052776,0.163,65.021
2018-09-20,118.500,119.240,118.080,118.630,15607387,0.467,68.108
2018-09-21,119.130,119.230,117.740,117.850,24790547,0.637,63.451
2018-09-24,117.760,118.460,116.431,116.720,12492641,0.673,57.334
2018-09-25,117.040,117.970,116.320,116.390,9308310,0.667,55.647
2018-09-26,116.750,116.870,114.660,115.020,14277226,0.546,49.178
2018-09-27,115.420,115.760,114.160,114.520,13282987,0.404,47.029
2018-09-28,113.650,114.240,112.520,112.840,15819297,0.155,40.608
2018-10-01,113.370,114.610,113.040,113.500,10147130,0.011,43.851
2018-10-02,113.360,114.120,112.813,113.970,13753074,-0.065,46.108
2018-10-03,114.940,115.660,114.480,115.040,17174470,-0.038,50.943
2018-10-04,114.550,116.810,114.210,115.270,16379660,0.001,51.941
2018-10-05,115.830,116.100,114.015,114.620,13777633,-0.019,48.912
2018-10-08,114.250,115.780,113.353,115.320,14370869,0.020,52.148
2018-10-09,114.670,115.030,113.670,114.520,14069478,-0.012,48.377
2018-10-10,114.700,114.950,111.470,111.470,23086389,-0.281,37.301
2018-10-11,110.970,111.470,107.380,108.130,33705616,-0.755,29.371
2018-10-12,110.370,110.830,105.600,106.950,32075955,-1.212,27.173
2018-10-15,107.200,108.850,106.320,106.340,18660216,-1.605,26.086
2018-10-16,107.160,108.780,106.730,108.620,19302894,-1.712,36.336
2018-10-17,108.380,110.800,108.230,109.830,18794482,-1.681,41.011
2018-10-18,109.020,109.840,107.810,108.090,17582467,-1.775,36.823
2018-10-19,107.650,109.220,107.270,107.910,15234549,-1.844,36.409
2018-10-22,108.150,108.340,106.113,106.360,16199339,-2.000,32.970
2018-10-23,104.200,106.160,103.700,105.250,21407788,-2.188,30.732
2018-10-24,104.760,105.030,102.907,103.290,23168916,-2.467,27.218
2018-10-25,104.180,105.900,103.720,104.860,17464708,-2.532,33.752
2018-10-26,104.000,104.560,102.730,103.420,19174916,-2.669,31.003
2018-10-29,104.460,106.630,103.700,104.850,18451377,-2.632,36.532
2018-10-30,105.710,106.980,104.860,106.700,18019681,-2.425,42.906
2018-10-31,108.080,110.480,107.790,109.020,20860053,-2.051,49.725
2018-11-01,109.620,110.220,108.320,108.980,13065023,-1.737,49.615
2018-11-02,109.900,110.810,107.490,108.380,19009518,-1.519,47.903
2018-11-05,108.610,109.290,108.420,109.090,10277700,-1.275,50.098
2018-11-06,108.670,109.670,107.760,109.600,11224959,-1.028,51.673
2018-11-07,110.370,111.730,109.350,111.480,12696700,-0.673,57.053
2018-11-08,111.000,112.925,111.000,112.380,11662493,-0.315,59.384
2018-11-09,111.980,112.360,110.830,111.290,10432247,-0.118,55.458
2018-11-12,111.420,111.940,108.600,108.950,13279671,-0.149,48.105
2018-11-13,109.100,111.120,109.100,109.590,13746059,-0.121,50.055
2018-11-14,110.230,110.710,105.984,107.330,18361496,-0.278,43.795
2018-11-15,108.240,110.080,106.810,110.070,19099979,-0.179,51.685
2018-11-16,109.450,110.760,108.550,109.990,13798551,-0.106,51.457
2018-11-19,109.840,111.200,109.528,110.830,13987041,0.020,53.755
2018-11-20,109.780,110.490,107.980,108.450,18936153,-0.072,46.971
2018-11-21,109.030,109.610,107.640,107.640,10619625,-0.207,44.894
2018-11-23,106.710,107.390,106.060,106.650,6488606,-0.390,42.425
2018-11-26,107.720,109.980,107.450,109.260,13948532,-0.321,50.201
2018-11-27,108.760,110.030,108.630,109.720,9239176,-0.226,51.445
2018-11-28,109.800,111.400,108.870,110.940,13977257,-0.052,54.680
2018-11-29,110.290,110.795,109.635,110.060,11144357,0.015,51.990
2018-11-30,109.850,111.320,109.580,111.190,18652718,0.157,55.048
2018-12-03,112.400,112.890,111.740,112.240,16034521,0.351,57.743
2018-12-04,111.600,111.600,106.730,107.230,23555940,0.098,44.147
2018-12-06,105.010,105.360,102.880,105.190,27213946,-0.263,40.015
2018-12-07,105.160,106.982,102.910,103.290,19248615,-0.695,36.581
2018-12-10,102.940,103.490,99.280,101.360,23663459,-1.179,33.442
2018-12-11,103.130,103.660,100.210,100.370,16863708,-1.624,31.928
2018-12-12,101.660,102.900,100.060,101.020,22621583,-1.902,34.039
2018-12-13,101.550,101.970,100.670,101.120,17252142,-2.090,34.376
2018-12-14,99.990,101.940,99.860,100.290,19879580,-2.280,32.874
2018-12-17,99.770,100.560,98.435,99.010,25111728,-2.505,30.650
2018-12-18,99.420,100.890,98.120,98.540,20840243,-2.690,29.852
2018-12-19,98.410,100.580,96.600,97.290,28767868,-2.905,27.779
2018-12-20,96.610,98.280,95.690,96.450,31826786,-3.106,26.449
2018-12-21,96.680,98.430,93.685,94.170,42084599,-3.411,23.204
2018-12-24,92.890,94.220,92.140,92.140,17009281,-3.772,20.761
2018-12-26,92.660,95.960,91.110,95.960,22565900,-3.708,34.693
2018-12-27,94.820,97.150,93.550,97.040,20804683,-3.529,38.012
2018-12-28,97.950,98.320,96.440,96.830,17963271,-3.366,37.612
2018-12-31,97.590,98.808,96.770,97.620,13276548,-3.136,40.164
2019-01-02,95.950,99.780,95.940,99.310,15670877,-2.786,45.318
2019-01-03,98.640,98.890,96.690,97.110,16286426,-2.655,40.435
2019-01-04,99.110,100.930,98.280,100.690,16935334,-2.237,49.895
2019-01-07,100.430,101.470,99.710,100.760,15430712,-1.878,50.062
2019-01-08,101.630,101.820,99.545,100.570,13578778,-1.590,49.579
2019-01-09,100.810,101.490,99.930,100.400,14230431,-1.361,49.123
2019-01-10,100.020,100.730,99.270,100.390,14377030,-1.166,49.094
2019-01-11,99.890,100.170,98.950,99.910,15439850,-1.039,47.657
2019-01-14,98.870,101.360,98.660,100.940,21259058,-0.845,50.973
2019-01-15,98.890,102.470,98.600,101.680,26504864,-0.624,53.263
2019-01-16,102.250,103.450,101.800,102.500,18606055,-0.379,55.732
2019-01-17,102.110,103.500,101.921,102.920,14247564,-0.149,56.985
2019-01-18,103.770,104.900,102.830,104.590,16428710,0.166,61.635
2019-01-22,103.080,103.590,102.130,102.940,17083681,0.280,55.277
2019-01-23,103.170,103.700,101.965,102.680,12146678,0.345,54.326
2019-01-24,102.130,103.090,101.940,102.740,11298753,0.396,54.520
2019-01-25,103.510,104.310,102.740,103.390,14412559,0.484,56.672
2019-01-28,102.890,104.240,102.590,103.880,12283089,0.587,58.275
2019-01-29,103.880,105.110,103.730,104.170,9743271,0.683,59.236
2019-01-30,104.140,105.240,103.780,104.410,12532876,0.770,60.056
2019-01-31,103.410,103.800,102.730,103.500,17555602,0.757,55.497
2019-02-01,104.000,104.846,103.520,103.880,13000780,0.769,56.966
2019-02-04,103.790,104.250,103.010,104.250,9871844,0.798,58.406
2019-02-05,104.520,104.550,103.290,103.790,12763989,0.776,55.902
2019-02-06,103.710,104.620,103.465,103.740,8797494,0.745,55.623
2019-02-07,103.250,103.500,101.440,102.380,13177489,0.605,48.525
2019-02-08,102.080,102.335,100.060,101.360,12892831,0.406,43.991
2019-02-11,101.770,102.010,100.771,100.880,10978710,0.207,42.002
2019-02-12,101.950,102.920,101.890,102.600,12852252,0.187,50.618
2019-02-13,102.900,103.850,102.900,103.090,10754061,0.207,52.770
2019-02-14,102.470,103.100,101.350,102.420,11518530,0.168,49.588
2019-02-15,103.900,105.700,103.660,105.550,14725061,0.385,61.324
2019-02-19,104.910,105.370,103.810,105.180,12764888,0.521,59.559
2019-02-20,105.210,105.800,104.875,105.690,10030717,0.662,61.216
2019-02-21,105.450,105.990,104.960,105.470,8400078,0.747,60.072
2019-02-22,105.700,106.090,104.775,105.000,10647258,0.768,57.597
2019-02-25,105.750,107.270,105.690,106.100,11230705,0.864,61.586
2019-02-26,104.500,105.470,103.940,105.290,15465450,0.864,57.310
2019-02-27,105.180,105.380,104.505,105.160,9968822,0.844,56.631
2019-02-28,105.010,105.210,104.180,104.360,15906850,0.755,52.505
2019-03-01,105.100,105.905,104.200,104.430,13813310,0.682,52.829
2019-03-04,104.920,105.915,103.267,104.190,12466285,0.598,51.531
2019-03-05,104.130,104.550,103.260,104.110,10856646,0.519,51.081
2019-03-06,103.890,104.570,103.550,103.720,9070782,0.421,48.840
2019-03-07,103.250,103.470,102.160,102.970,12710740,0.278,44.772
2019-03-08,101.990,103.230,101.990,103.010,10582371,0.167,45.035
2019-03-11,103.980,104.545,103.660,104.350,9763235,0.185,53.092
2019-03-12,104.590,104.790,103.754,104.040,10219100,0.172,51.221
2019-03-13,104.190,104.980,103.950,104.390,13022901,0.188,53.225
2019-03-14,104.500,105.870,104.460,105.340,10926479,0.274,58.239
2019-03-15,105.410,106.800,105.230,106.550,24812027,0.435,63.593
2019-03-18,106.550,107.785,106.500,107.190,13730418,0.607,66.070
2019-03-19,108.200,108.400,106.550,106.800,12968635,0.704,63.246
