date,open,high,low,close,volume,MACD,RSI
2018-08-16,261.900,262.000,255.010,257.440,20108880,2.325,55.801
2018-08-17,252.940,252.970,243.730,244.820,28897091,1.276,40.984
2018-08-20,243.180,253.200,238.720,247.840,21360658,0.680,44.764
2018-08-21,248.500,253.500,247.700,253.320,16852129,0.642,50.908
2018-08-22,252.000,263.020,251.860,262.820,18748122,1.363,59.350
2018-08-23,261.260,269.480,260.701,266.840,18017168,2.233,62.304
2018-08-24,267.180,272.810,267.000,272.220,13302762,3.318,65.878
2018-08-27,273.420,278.900,272.145,275.900,12645437,4.425,68.105
2018-08-28,275.660,276.580,269.530,274.380,11884595,5.120,66.183
2018-08-29,273.920,279.500,273.080,278.580,10502761,5.941,68.803
2018-08-30,277.230,281.717,276.320,277.810,8665230,6.455,67.766
2018-08-31,277.000,281.200,276.600,280.680,7699130,7.013,69.604
2018-09-04,280.150,285.220,279.000,283.700,9793027,7.612,71.449
2018-09-05,282.990,284.420,275.150,278.420,9828919,7.573,64.122
2018-09-06,277.760,277.860,271.391,272.720,8103507,7.001,57.291
2018-09-07,269.000,276.930,267.190,271.860,7385468,6.405,56.316
2018-09-10,272.770,275.930,271.000,274.730,5503457,6.093,58.834
2018-09-11,272.860,276.400,272.020,272.800,6077818,5.626,56.477
2018-09-12,271.400,271.980,261.920,268.200,10482234,4.829,51.211
2018-09-13,270.860,275.000,270.161,271.340,7638245,4.400,54.341
2018-09-14,274.990,279.100,273.500,276.430,9691218,4.420,58.938
2018-09-17,275.402,277.380,273.150,273.930,5138189,4.185,55.958
2018-09-18,274.090,278.240,270.750,271.020,7488023,3.722,52.622
2018-09-19,270.272,272.699,268.250,271.980,5621465,3.393,53.605
2018-09-20,267.040,268.760,264.100,266.280,10764619,2.642,47.328
2018-09-21,266.760,268.600,262.110,263.450,10878171,1.798,44.540
2018-09-24,262.200,265.840,258.680,265.700,7347846,1.295,47.203
2018-09-25,268.370,269.420,264.910,268.410,7009811,1.103,50.299
2018-09-26,268.610,270.240,266.280,266.920,6713788,0.821,48.611
2018-09-27,268.340,269.200,266.130,267.400,5360747,0.629,49.203
2018-09-28,272.220,281.915,271.600,281.020,17736344,1.558,62.418
2018-10-01,284.160,292.060,282.600,289.360,15551453,2.933,67.921
2018-10-02,288.250,292.760,285.580,286.480,9599118,3.747,64.413
2018-10-03,289.320,289.620,282.530,286.730,8013769,4.363,64.584
2018-10-04,285.270,286.250,276.180,279.290,9777994,4.201,55.966
2018-10-05,278.290,280.800,267.540,269.860,10715639,3.275,47.343
2018-10-08,266.500,271.160,260.080,265.770,10215272,2.186,44.165
2018-10-09,264.940,268.760,262.800,265.540,6837493,1.289,43.986
2018-10-10,261.260,263.110,245.600,245.690,17123454,-1.012,31.958
2018-10-11,242.170,247.560,234.261,235.130,18136049,-3.645,27.630
2018-10-12,245.507,249.541,239.650,246.540,15214717,-4.757,37.483
2018-10-15,246.000,246.000,235.340,235.380,11244032,-6.464,32.782
2018-10-16,239.930,246.280,237.940,245.830,10217795,-6.894,40.328
2018-10-17,248.340,249.880,241.080,243.060,8241701,-7.373,39.076
2018-10-18,245.860,247.410,237.090,239.530,13100898,-7.946,37.479
2018-10-19,241.760,242.550,227.700,229.170,15343789,-9.131,33.191
2018-10-22,231.280,235.320,227.070,231.220,9222079,-9.792,34.781
2018-10-23,220.430,224.190,216.710,221.060,15660945,-11.009,30.861
