date,open,high,low,close,volume,MACD,RSI
2015-12-01,209.440,210.820,209.110,210.680,97858418,0.000,0.000
2015-12-02,210.615,211.000,208.230,208.529,108069059,0.000,0.000
2015-12-03,208.830,209.150,204.751,205.610,166224154,0.000,0.000
2015-12-04,206.080,209.970,205.930,209.620,192878747,0.000,0.000
2015-12-07,209.230,209.730,207.200,208.350,102027111,0.000,0.000
2015-12-08,206.490,208.289,205.780,206.949,103372367,0.000,0.000
2015-12-09,206.190,208.680,204.180,205.340,162401537,0.000,0.000
2015-12-10,205.420,207.430,205.140,205.870,116128858,0.000,0.000
2015-12-11,203.350,204.140,201.510,201.880,211173305,0.000,0.000
2015-12-14,202.070,203.050,199.950,202.901,182357840,0.000,0.000
2015-12-15,204.700,206.110,202.867,205.031,154001569,0.000,0.000
2015-12-16,206.365,208.390,204.800,208.030,196939008,0.000,0.000
2015-12-17,208.400,208.480,204.840,204.860,172045733,0.000,0.000
2015-12-18,202.800,202.930,199.830,200.021,251273535,0.000,0.000
2015-12-21,201.410,201.880,200.090,201.670,98494290,0.000,0.000
2015-12-22,202.715,203.850,201.550,203.500,110922396,0.000,0.000
2015-12-23,204.690,206.070,204.580,206.020,110986206,0.000,0.000
2015-12-24,205.720,206.330,205.420,205.680,48542150,0.000,0.000
2015-12-28,204.860,205.260,203.940,205.210,65899822,0.000,0.000
2015-12-29,206.510,207.790,206.470,207.400,92634729,0.000,0.000
2015-12-30,207.110,207.210,205.760,205.930,63317679,0.000,0.000
2015-12-31,205.130,205.890,203.870,203.870,114877859,0.000,0.000
2016-01-04,200.490,201.030,198.590,201.019,222353534,0.000,0.000
2016-01-05,201.405,201.900,200.050,201.360,110845729,0.000,0.000
2016-01-06,198.330,200.060,197.600,198.820,152112604,0.000,0.000
2016-01-07,195.330,197.440,193.590,194.050,213436023,0.000,0.000
2016-01-08,195.190,195.850,191.580,191.923,209567228,-2.419,25.592
2016-01-11,193.010,193.410,189.820,192.110,187941153,-2.964,26.073
2016-01-12,193.820,194.550,191.140,193.661,172330490,-3.234,30.108
2016-01-13,194.450,194.860,188.380,188.830,221154886,-3.794,25.448
2016-01-14,189.550,193.260,187.660,191.930,240795609,-3.942,32.652
2016-01-15,186.770,188.760,185.520,187.810,324846447,-4.342,28.685
2016-01-19,189.960,190.110,186.200,188.060,195243673,-4.586,29.247
2016-01-20,185.030,187.495,181.020,185.650,286547516,-4.917,27.036
2016-01-21,186.210,188.870,184.640,186.690,195772941,-5.037,29.512
2016-01-22,189.780,190.760,188.880,190.520,168319598,-4.768,37.874
2016-01-25,189.930,190.150,187.410,187.640,130371286,-4.733,34.554
2016-01-26,188.420,190.530,188.020,190.200,141036419,-4.448,39.620
2016-01-27,189.580,191.560,187.060,188.130,185645007,-4.338,37.118
2016-01-28,189.970,190.200,187.160,189.110,143757730,-4.125,39.080
2016-01-29,190.010,193.880,189.880,193.721,209821836,-3.543,47.394
2016-02-01,192.530,194.580,191.840,193.650,136020564,-3.052,47.287
2016-02-02,191.960,191.970,189.540,190.160,180286395,-2.912,42.238
2016-02-03,191.410,191.780,187.100,191.300,205042020,-2.677,44.329
2016-02-04,190.710,192.750,189.960,191.600,139516454,-2.439,44.894
2016-02-05,190.990,191.670,187.200,187.950,180777333,-2.516,39.623
2016-02-08,185.770,186.120,182.800,185.420,191479448,-2.749,36.429
2016-02-09,183.360,186.940,183.200,185.430,184247136,-2.900,36.451
2016-02-10,186.410,188.340,185.120,185.270,148213396,-2.998,36.237
2016-02-11,182.340,184.100,181.090,182.860,219055385,-3.232,33.084
2016-02-12,184.960,186.650,183.960,186.630,127135393,-3.079,41.638
2016-02-16,188.770,189.810,187.630,189.780,120250668,-2.672,47.658
2016-02-17,191.170,193.320,191.010,192.880,135979476,-2.075,52.817
2016-02-18,193.200,193.270,191.720,192.090,102289097,-1.647,51.426
2016-02-19,191.170,192.180,190.450,192.000,114727788,-1.301,51.260
2016-02-22,193.870,194.950,193.790,194.780,103640292,-0.792,55.977
2016-02-23,193.990,194.320,192.180,192.320,111248889,-0.581,51.251
2016-02-24,190.630,193.530,189.320,193.200,150812152,-0.339,52.786
2016-02-25,193.730,195.550,192.830,195.540,110728317,0.041,56.693
2016-02-26,196.570,196.680,194.900,195.089,129343558,0.303,55.736
2016-02-29,195.110,196.230,193.330,193.350,125918102,0.366,52.084
2016-03-01,195.010,198.210,194.454,198.110,141717187,0.790,59.840
2016-03-02,197.720,199.060,197.250,199.000,102390960,1.185,61.108
2016-03-03,198.790,199.795,198.110,199.775,95148197,1.542,62.226
2016-03-04,200.010,201.350,199.030,200.430,128913601,1.857,63.189
2016-03-07,199.340,201.070,199.250,200.590,99475598,2.096,63.434
2016-03-08,199.320,199.920,198.210,198.400,123944866,2.084,57.761
2016-03-09,199.360,199.790,198.430,199.380,94801213,2.129,59.506
2016-03-10,199.960,201.070,197.380,199.540,156838697,2.153,59.798
2016-03-11,201.260,202.810,199.518,202.760,137454028,2.404,65.233
2016-03-14,202.160,203.040,201.770,202.500,73611949,2.552,64.475
2016-03-15,201.360,202.531,201.050,202.170,93169058,2.613,63.467
2016-03-16,201.600,203.820,201.550,203.340,128552379,2.724,65.525
2016-03-17,203.240,205.230,202.770,204.630,134255005,2.883,67.686
2016-03-18,204.170,204.780,203.800,204.380,138370904,2.955,66.812
2016-03-21,204.070,204.940,203.800,204.670,72726659,3.001,67.339
2016-03-22,203.760,205.230,203.570,204.560,97471939,2.994,66.905
2016-03-23,204.110,204.330,203.010,203.209,81028955,2.846,61.651
2016-03-24,202.000,203.160,201.740,203.120,84360853,2.691,61.309
2016-03-28,203.610,203.860,202.705,203.240,62383185,2.549,61.618
2016-03-29,202.760,205.250,202.400,205.121,92922863,2.558,66.174
2016-03-30,206.300,206.870,205.590,206.020,86365310,2.608,68.123
2016-03-31,205.910,206.410,205.330,205.520,94488010,2.577,65.851
2016-04-01,204.350,207.140,203.980,206.920,114405478,2.636,68.971
2016-04-04,206.830,207.070,205.890,206.250,63495969,2.598,65.870
2016-04-05,204.670,206.264,203.890,204.189,99662158,2.374,57.330
2016-04-06,204.290,206.490,203.980,206.420,91834261,2.350,62.932
2016-04-07,205.140,205.560,203.090,203.950,113859037,2.107,54.414
2016-04-08,205.340,205.850,203.870,204.499,95001598,1.937,55.845
2016-04-11,205.250,206.070,203.910,204.020,83687486,1.743,54.245
2016-04-12,204.220,206.250,203.700,205.920,115350567,1.723,59.233
2016-04-13,207.000,208.100,206.840,208.001,96334633,1.853,63.877
2016-04-14,208.070,208.600,207.600,208.010,65212567,1.935,63.897
