date,open,high,low,close,volume,MACD,RSI
2018-08-20,78.260,79.000,78.170,78.810,8152096,-0.989,42.078
2018-08-21,79.050,79.580,78.670,78.830,9192549,-0.942,42.211
2018-08-22,79.110,80.050,79.020,79.960,10109577,-0.803,49.324
2018-08-23,79.560,79.630,78.895,79.080,7204046,-0.756,44.709
2018-08-24,79.520,80.050,79.420,79.620,6548216,-0.667,47.929
2018-08-27,79.910,80.470,79.859,80.400,6672404,-0.528,52.254
2018-08-28,80.580,80.820,80.200,80.280,8830252,-0.422,51.544
2018-08-29,80.440,81.040,80.095,80.860,8005045,-0.288,54.742
2018-08-30,80.450,80.780,80.120,80.510,7450853,-0.208,52.491
2018-08-31,80.240,80.460,79.770,80.170,10711912,-0.170,50.326
2018-09-04,80.410,80.690,79.810,80.290,8855152,-0.129,51.092
2018-09-05,79.900,81.430,79.600,81.360,13908844,-0.009,57.406
2018-09-06,81.110,81.640,80.340,80.460,13330077,0.012,51.396
2018-09-07,80.150,81.930,79.820,81.830,16418138,0.139,58.516
2018-09-10,82.236,82.740,81.655,81.710,10854928,0.226,57.718
2018-09-11,81.960,83.190,81.630,82.860,11892305,0.384,62.932
2018-09-12,83.250,83.780,82.870,83.130,11577356,0.525,64.053
2018-09-13,83.150,83.250,82.010,82.320,11161648,0.565,58.353
2018-09-14,82.420,83.150,82.270,82.920,9573549,0.637,61.113
2018-09-17,83.000,83.610,82.990,83.410,8403325,0.726,63.255
2018-09-18,83.900,84.130,83.450,83.630,9219890,0.805,64.209
2018-09-19,83.640,84.770,83.640,84.630,10413800,0.937,68.242
2018-09-20,84.860,85.340,84.540,84.820,11198164,1.045,68.958
2018-09-21,85.010,85.430,84.520,85.170,26639437,1.146,70.286
2018-09-24,85.790,87.085,85.720,86.600,13549486,1.326,74.995
2018-09-25,87.031,87.360,86.370,86.500,12202812,1.444,74.110
2018-09-26,86.020,86.500,85.690,85.780,10525498,1.462,67.901
2018-09-27,86.085,86.375,85.590,85.770,7895430,1.459,67.816
2018-09-28,85.250,85.930,84.990,85.020,9890161,1.380,61.590
2018-10-01,85.350,86.030,85.255,85.810,8568230,1.366,65.213
2018-10-02,85.800,86.665,85.622,86.460,8453438,1.391,67.896
2018-10-03,86.510,86.890,85.975,86.150,10206915,1.370,65.309
2018-10-04,85.500,86.075,85.250,85.580,10219989,1.292,60.727
2018-10-05,85.310,85.700,84.932,85.340,9262371,1.198,58.854
2018-10-08,84.780,86.305,84.650,86.130,13242381,1.173,62.908
2018-10-09,86.380,86.880,85.740,86.510,10177885,1.171,64.710
2018-10-10,86.730,86.820,84.500,84.520,16573466,0.996,50.798
2018-10-11,83.940,84.170,81.170,81.600,20320600,0.616,37.917
2018-10-12,82.130,82.240,80.270,81.380,15216536,0.293,37.152
2018-10-15,81.380,81.735,80.820,80.820,10558752,-0.008,35.207
2018-10-16,80.510,81.265,80.010,81.200,9781853,-0.213,37.595
2018-10-17,80.940,81.520,80.340,81.500,12247748,-0.348,39.491
2018-10-18,81.200,82.470,81.200,81.850,17448566,-0.421,41.716
2018-10-19,81.650,82.464,81.510,81.970,12098692,-0.464,42.497
2018-10-22,82.000,82.180,80.640,81.150,9474779,-0.558,38.684
2018-10-23,80.060,80.460,78.715,79.840,15466125,-0.730,33.510
2018-10-24,80.100,80.260,77.550,77.620,16085735,-1.034,26.936
2018-10-25,78.490,79.050,77.740,78.310,12315547,-1.204,31.438
2018-10-26,77.870,78.410,76.960,77.530,18160992,-1.387,29.244
2018-10-29,78.070,78.430,76.220,77.050,15707035,-1.552,27.952
2018-10-30,77.620,79.030,77.420,78.780,17758234,-1.526,38.503
2018-10-31,79.340,80.350,78.900,79.680,16629070,-1.416,43.165
2018-11-01,79.830,80.750,79.300,80.670,14160290,-1.235,47.850
2018-11-02,81.760,82.450,80.230,81.950,19350357,-0.977,53.218
